idx,observationId,sourceId,blendId,neighborId,fieldx,fieldy,posx,posy,parallactic,airmass,zenith,seed,chip,intensity,temperature
0,104143,5190827002122646400,0,0,-0.022070201113820076,0.019209302961826324,-0.2274971753358841,0.19823528826236725,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R40_SW1,282937,5461.93798828125
1,104143,5190827006420524160,0,1,-0.022108949720859528,0.01925637014210224,-0.22789864242076874,0.1987219601869583,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R40_SW1,462801,8961.6787109375
2,104143,5190827006420525312,0,2,-0.022046593949198723,0.01919362135231495,-0.22725385427474976,0.19807323813438416,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R40_SW1,2484871,5424.33349609375
3,104143,5197649510427916160,1,0,0.019810562953352928,-0.019920440390706062,0.20502133667469025,-0.20596720278263092,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,836136,4413.33349609375
4,104143,5197649544790490368,1,1,0.019838619977235794,-0.019939150661230087,0.20530949532985687,-0.20616023242473602,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,808257,4855.0
5,104143,5782693772051740288,2,0,0.01901300624012947,0.01892203651368618,0.19605568051338196,0.19526143372058868,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW0,674827,3994.0
6,104143,5782693772054405120,2,1,0.019036436453461647,0.018912337720394135,0.19629697501659393,0.19516246020793915,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW0,611177,6793.17529296875
7,104143,5190827448798907392,3,0,-0.021661164239048958,0.020135600119829178,-0.2233353555202484,0.20761780440807343,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R40_SW1,1061998,5413.0
8,104143,5190827453097124864,3,1,-0.0216805599629879,0.0201621875166893,-0.22353562712669373,0.20789167284965515,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R40_SW1,747412,5583.865234375
9,104143,5197609687494066432,4,0,0.022208716720342636,-0.01948494277894497,0.2289401739835739,-0.20099730789661407,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,1127692,4474.52978515625
10,104143,5197609653134327552,4,1,0.02219163067638874,-0.019471004605293274,0.2287636697292328,-0.20085252821445465,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,921655,5274.52685546875
11,104143,5197610271609604352,5,0,0.021743370220065117,-0.019625835120677948,0.22433483600616455,-0.20236556231975555,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,10497158,5588.990234375
12,104143,5197610271609603328,5,1,0.0217173732817173,-0.019580062478780746,0.22406701743602753,-0.2018931657075882,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,648646,3928.0
13,104143,5197650781741063296,6,0,0.01913933828473091,-0.021829577162861824,0.19781020283699036,-0.2252194881439209,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,848284,4913.66650390625
14,104143,5197650781741062912,6,1,0.01913813315331936,-0.021804802119731903,0.19779811799526215,-0.22496387362480164,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,1056864,5113.27490234375
15,104143,5197650880523735808,6,2,0.019211802631616592,-0.021922415122389793,0.19856014847755432,-0.2261779010295868,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,175263,8146.17919921875
16,104143,5782642606106439808,7,0,0.019735777750611305,0.022716179490089417,0.2035803496837616,0.23375822603702545,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW1,1427088,4818.23681640625
17,104143,5782642610403971584,7,1,0.019708720967173576,0.02273697592318058,0.20330119132995605,0.2339726835489273,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW1,632609,6128.81787109375
18,104143,5197650060186531968,8,0,0.018794085830450058,-0.020531222224235535,0.19420862197875977,-0.212102010846138,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,2783552,5232.56640625
19,104143,5197649952810665728,8,1,0.018725717440247536,-0.02045941911637783,0.19350272417068481,-0.21135969460010529,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,255647,4620.7978515625
20,104143,5197656932134270976,9,0,0.019968615844845772,-0.02228333242237568,0.20605126023292542,-0.23007093369960785,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,414414,5793.2763671875
21,104143,5197656927837753984,9,1,0.019921187311410904,-0.02223063074052334,0.20556162297725677,-0.22952626645565033,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,212436,4979.25341796875
22,104143,5197610271606828672,10,0,0.021779228001832962,-0.019632868468761444,0.22469580173492432,-0.20221009850502014,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,289726,5396.94482421875
23,104143,5197610271609603328,10,1,0.0217173732817173,-0.019580062478780746,0.2240576297044754,-0.20166555047035217,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,648816,3928.0
24,104143,5782642640466184192,11,0,0.019920023158192635,0.022827226668596268,0.20539343357086182,0.23551137745380402,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW1,3818298,4613.0
25,104143,5782642640466179712,11,1,0.01987195760011673,0.022863058373332024,0.20489723980426788,0.23588089644908905,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW1,836270,4888.642578125
26,104143,5192183941207579008,12,0,-0.021535640582442284,-0.02279728278517723,-0.22179152071475983,-0.23529504239559174,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,340317,7266.50439453125
27,104143,5192183941207579520,12,1,-0.02151421085000038,-0.02283676713705063,-0.2215701788663864,-0.23570261895656586,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,298160,6129.46728515625
28,104143,5192183941204871552,12,2,-0.021534187719225883,-0.02278401330113411,-0.22177660465240479,-0.23515716195106506,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,612807,5174.724609375
29,104143,5197655866982387968,13,0,0.02048802748322487,-0.021057719364762306,0.21184511482715607,-0.21703343093395233,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,314185,8467.8837890625
30,104143,5197656244939513216,13,1,0.020546218380331993,-0.02111595869064331,0.2124464213848114,-0.21763698756694794,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW0,889323,4910.5
31,104143,5192178851669654144,14,0,-0.020662205293774605,-0.019791794940829277,-0.2135602980852127,-0.20450173318386078,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,275362,7888.953125
32,104143,5192178855966300928,14,1,-0.020673437044024467,-0.019773287698626518,-0.21367666125297546,-0.2043106108903885,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,493628,8620.2255859375
33,104143,5192184422243939328,15,0,-0.018861405551433563,-0.019963709637522697,-0.1944759339094162,-0.20606853067874908,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,658546,5245.2265625
34,104143,5192184422243938432,15,1,-0.018888279795646667,-0.019922638311982155,-0.19475315511226654,-0.20564492046833038,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,10706774,5323.10009765625
35,104143,5192184795904067456,15,2,-0.018833834677934647,-0.020027032122015953,-0.19419166445732117,-0.20672248303890228,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,670683,4644.35498046875
36,104143,5192188957729391872,16,0,-0.020438583567738533,-0.022406484931707382,-0.21116270124912262,-0.23116663098335266,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,1068005,4855.0
37,104143,5192188957729392768,16,1,-0.020394308492541313,-0.022485138848423958,-0.21070760488510132,-0.231978178024292,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,1705085,4993.4697265625
38,104143,5782642610403971584,17,0,0.019708720967173576,0.02273697592318058,0.20312218368053436,0.2347874939441681,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW1,630103,8741.990234375
39,104143,5782642606106439808,17,1,0.019735777750611305,0.022716179490089417,0.20340131223201752,0.2345709353685379,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R44_SW1,1426978,4818.23681640625
40,104143,5197610202890164864,18,0,0.02279774285852909,-0.01982354186475277,0.23495249450206757,-0.20458585023880005,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,670620,4947.0
41,104143,5197610198593516800,18,1,0.022815564647316933,-0.019847234711050987,0.23513618111610413,-0.2048300802707672,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R04_SW1,345644,7159.51806640625
42,104143,5192184422243938432,19,0,-0.018888279795646667,-0.019922638311982155,-0.19529345631599426,-0.20596450567245483,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,10706067,5323.10009765625
43,104143,5192184422243939328,19,1,-0.018861405551433563,-0.019963709637522697,-0.19501616060733795,-0.20638753473758698,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,658679,5245.2265625
44,104143,5192184795904067456,19,2,-0.018833834677934647,-0.020027032122015953,-0.1947317123413086,-0.20704123377799988,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW0,671408,4644.35498046875
45,104143,5192186243310079360,20,0,-0.018982889130711555,-0.02197532169520855,-0.1957462728023529,-0.22668947279453278,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,10497078,7115.0
46,104143,5192186243310079104,20,1,-0.01899835094809532,-0.02192542515695095,-0.1959051638841629,-0.22617526352405548,-3.8353583812713623,1.8167930841445923,0.9879286289215088,99,R00_SW1,1061249,4912.61767578125
